epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/Difetto1,val/AP/Difetto2,val/AP/Difetto4,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,1495,,,,,,,,,,,,,,,,,,,,,,0.03970680758357048,0.043687693774700165,0.013932507485151291,0.13255208730697632,299.1241149902344,299.1236572265625,299.1236572265625,299.1206359863281,39.08549499511719,0.0977839007973671,0.03890880197286606,0.4830241799354553,11.143073081970215,0.1664181649684906,0.1773819923400879,0.17266234755516052,0.18768374621868134,1.0608464479446411,1.040834903717041,1.0483739376068115,1.0500863790512085,0.41654983162879944,0.4288087487220764,0.4245017468929291,0.4412428140640259,0.07857552170753479,0.03244233503937721,0.021191110834479332,0.44863152503967285,0.16006676852703094,0.16437499225139618
0,1495,3898.6669921875,3896.126220703125,3898.18994140625,3896.50537109375,47.81243133544922,11.507782936096191,0.18844249844551086,0.19532614946365356,0.1923792064189911,0.21886536478996277,1.070631742477417,1.0737656354904175,1.0679255723953247,1.0423623323440552,0.3999423384666443,0.404308944940567,0.40323883295059204,0.43152332305908203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1499,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1549,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1599,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1649,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1699,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1749,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1799,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1849,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
